Category,Ministry,Scheme,Actuals_2021,BE_2022,BE_2023,Growth_percent
Demand No. 93,Department of Social Justice and Empowerment,Venture Capital Fund for SCs and OBCs,90,110,92,-16.36363636
Demand No. 93,Department of Social Justice and Empowerment,Scholarships for Higher Education for Young Achievers Scheme (SHREYAS) for OBCs and EBCs,82.25,80,86,7.5
Demand No. 93,Department of Social Justice and Empowerment,Scheme for Economic Empowerment of DNT/NT/SNTs (SEED),0.21,28,40.4,44.28571429
Demand No. 93,Department of Social Justice and Empowerment,Support for Marginalized Individuals for Livelihood & Enterprise (SMILE),1.96,45,72.91,62.02222222
Demand No. 93,Department of Social Justice and Empowerment,Self Employment Scheme for Rehabilitation of Manual Scavengers,39,70,0,-100
Demand No. 93,Department of Social Justice and Empowerment,"Information, Monitoring, Evaluation and Social Audit",17.82,19.5,20,2.564102564
Demand No. 93,Department of Social Justice and Empowerment,National Action for Mechanised Sanitation Ecosystem (NAMASTE),0,0,97.41,
Demand No. 93,Department of Social Justice and Empowerment,Development Action Plan for SCs (DAPSC),0,0,0,
Demand No. 94,Department of Empowerment of Persons with Disabilities,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,198.7,235,245,4.255319149
Demand No. 94,Department of Empowerment of Persons with Disabilities,Deendayal Disabled Rehabilitation Scheme,100.89,125,130,4
Demand No. 94,Department of Empowerment of Persons with Disabilities,Support of National Trust,28.14,35,0,-100
Demand No. 94,Department of Empowerment of Persons with Disabilities,Scheme for implementation of Persons with Disability Act,108.44,240.39,150,-37.60139773
Demand No. 94,Department of Empowerment of Persons with Disabilities,Scholarship for Students with Disabilidties,120.32,105,155,47.61904762
Demand No. 95,Department of Space,Space Technology,8873.63,10534.5,9440.66,-10.3834069
Demand No. 95,Department of Space,Space Applications,1203.62,1482.8,1558.95,5.135554357
Demand No. 95,Department of Space,Space Sciences,190.36,206.11,138.8,-32.65731891
Demand No. 95,Department of Space,INSAT Satellite Systems,344.97,418.59,531,26.85443991
Demand No. 96,Ministry of Statistics and Programme Implementation,Member of Parliament Local Area Development Scheme (MPLAD),1732.12,3965,3958.5,-0.163934426
Demand No. 96,Ministry of Statistics and Programme Implementation,Capacity Development (CD),241.71,562.1,600,6.742572496
Demand No. 96,Ministry of Statistics and Programme Implementation,National programme for improving Quality of Statistics in India,0,0.01,0,-100
Demand No. 97,Ministry of Steel,Scheme for Promotion of Research and Development in Iron and Steel sector,4.81,4.49,10,122.7171492
Demand No. 97,Ministry of Steel,Flagging of Merchant Ships in India,1.32,0,14,
Demand No. 98,Ministry of Textiles,Amended Technology Upgradation Fund Scheme(ATUFS),625.31,650,900,38.46153846
Demand No. 98,Ministry of Textiles,Procurement of Cotton by Cotton Corporation under Price Support Scheme,8331.96,9243.09,0.01,-99.99989181
Demand No. 98,Ministry of Textiles,National Handloom Development Programme,187.28,200,200,0
Demand No. 98,Ministry of Textiles,Handloom Weaver Comprehensive Welfare Scheme (HWCWS),0.49,0,0,
Demand No. 98,Ministry of Textiles,Yarn Supply Scheme,89.53,0,0,
Demand No. 98,Ministry of Textiles,Trade Facilitation Centre and Crafts Museum,0.03,0,0,
Demand No. 98,Ministry of Textiles,Handloom Cluster Development Program - Handloom Mega Cluster,4.82,0,0,
Demand No. 98,Ministry of Textiles,Weavers Service Centre,47.57,0,0,
Demand No. 98,Ministry of Textiles,Other Handloom Schemes,31.21,0,0,
Demand No. 98,Ministry of Textiles,National Handicrafts Development Programme (NHDP),0,200,238.33,19.165
Demand No. 98,Ministry of Textiles,Training and Extension,13.39,0,0,
Demand No. 98,Ministry of Textiles,Design and Technical Upgradation Scheme,49.73,0,0,
Demand No. 98,Ministry of Textiles,Ambedkar Hasthshilp Vikas Yojana,34.28,0,0,
Demand No. 98,Ministry of Textiles,Marketing Support and Services,38.18,0,0,
Demand No. 98,Ministry of Textiles,Handicrafts Artisans comprehensive welfare scheme,13.2,0,0,
Demand No. 98,Ministry of Textiles,Research and Development - Handicrafts,7.19,0,0,
Demand No. 98,Ministry of Textiles,Human Resource Development- Handicrafts,19.75,0,0,
Demand No. 98,Ministry of Textiles,Infrastructure and Technology Development Scheme,40.25,0,0,
Demand No. 98,Ministry of Textiles,Handicraft Cluster Development Program - Handicraft Mega Cluster,11.66,20,40,100
Demand No. 98,Ministry of Textiles,Other Handicraft schemes,72.1,0,0,
Demand No. 98,Ministry of Textiles,Integrated Wool Development Programme,6.25,15,27.11,80.73333333
Demand No. 98,Ministry of Textiles,Central Silk Board,854.08,875,917.77,4.888
Demand No. 98,Ministry of Textiles,Scheme for Development of Jute Sector,36,70,100,42.85714286
Demand No. 98,Ministry of Textiles,Subsidy to Jute Corporation of India towards market operation,49.29,45,42,-6.666666667
Demand No. 98,Ministry of Textiles,"Others (IJIRA, COP JC)",1.65,0,0,
Demand No. 98,Ministry of Textiles,Power Tex India,29.61,0,0,
Demand No. 98,Ministry of Textiles,Comprehensive Powerloom Cluster Development Program - Powerloom Mega Cluster,6.8,0,0,
Demand No. 98,Ministry of Textiles,Integrated Processing Development Scheme,41.26,70,60,-14.28571429
Demand No. 98,Ministry of Textiles,Scheme for Integrated Textile Parks (SITP),55,0,0,
Demand No. 98,Ministry of Textiles,Assistant to Textile Committee,25,25,0,-100
Demand No. 98,Ministry of Textiles,Export Promotion Studies,1.73,0,0,
Demand No. 98,Ministry of Textiles,Production Linked Incentive (PLI) Scheme for Textiles,0,15,5,-66.66666667
Demand No. 98,Ministry of Textiles,"Others (TRAs, COP)",16.26,0,0,
Demand No. 98,Ministry of Textiles,Integrated Scheme for Skill Development,59.76,100,115,15
Demand No. 98,Ministry of Textiles,R and D Textiles,6,10,0.02,-99.8
Demand No. 98,Ministry of Textiles,National Institute of Fashion Technology (NIFT),90,120,0,-100
Demand No. 98,Ministry of Textiles,Technology Mission on Technical Textile,85.69,0,0,
Demand No. 98,Ministry of Textiles,National Technical Textiles Mission.,0,100,450,350
Demand No. 98,Ministry of Textiles,Textile Cluster Development Scheme,0,133.83,141.54,5.761040126
Demand No. 98,Ministry of Textiles,NER Textiles Promotion Scheme,13.6,0,0,
Demand No. 98,Ministry of Textiles,Scheme for Usage of Geotextiles in North East,0,0,0,
Demand No. 98,Ministry of Textiles,PM - MITRA,0,15,200,1233.333333
Demand No. 98,Ministry of Textiles,"Scheme for Protection of the Handlooms and Implementation of the Handlooms (Reservation of Articles for Production) Act, 1985",0,5,7,40
Demand No. 98,Ministry of Textiles,Raw Material Supply Scheme,0,105,160,52.38095238
Demand No. 99,Ministry of Tourism,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),261.36,1181.3,1412,19.52933209
Demand No. 99,Ministry of Tourism,Development of Iconic Tourist Destinations,0,130,0,-100
Demand No. 99,Ministry of Tourism,"Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)",150,235,250,6.382978723
Demand No. 99,Ministry of Tourism,Other Support to Tourist Infrastructure,130.94,191.54,0,-100
Demand No. 99,Ministry of Tourism,Loan Guarantee Scheme for the Covid affected Tourism Service Sector,0,12.5,1,-92
Demand No. 99,Ministry of Tourism,Assistance to Central Agencies for Tourism Infrastructure Development,0,0,80,
Demand No. 99,Ministry of Tourism,Champion Services Sector Scheme,0,0,196.22,
Demand No. 99,Ministry of Tourism,Overseas Promotion and Publicity including Market Development Assistance,9.42,341,167,-51.02639296
Demand No. 99,Ministry of Tourism,Domestic Promotion and Publicity including Market Development Assistance,40,75,75,0
Demand No. 99,Ministry of Tourism,Assistance to IHMS/FCIs/IITTM/NIWS,73.9,70,70,0
Demand No. 99,Ministry of Tourism,Capacity Building for Service Providers,21.22,34,35,2.941176471
Demand No. 100,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students,119.98,0,0,
Demand No. 100,Ministry of Tribal Affairs,Scholarship to the ST Students for Studies Abroad,4.95,0,0,
Demand No. 100,Ministry of Tribal Affairs,Institutional Support for Development and Marketing of Tribal Products (TRIFED etc.),113.06,0,0,
Demand No. 100,Ministry of Tribal Affairs,Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes,89.43,0,0,
Demand No. 100,Ministry of Tribal Affairs,Eklavya Model Residential School (EMRS),1057.74,0,0,
Demand No. 100,Ministry of Tribal Affairs,Marketing and Logistics Development for Promoting Tribal Products from North Eastern Region,36,0,0,
Demand No. 100,Ministry of Tribal Affairs,Aid to Voluntary Organizations working for the welfare of Scheduled Tribes,0,110,0,-100
Demand No. 100,Ministry of Tribal Affairs,Venture Capital Fund for Scheduled Tribes.,0,50,0,-100
Demand No. 100,Ministry of Tribal Affairs,Pradhan Mantri Jan Jatiya Vikas Mission (PMJVM),0,499,0,-100
Demand No. 100,Ministry of Tribal Affairs,"Tribal Research Information, Education, Communication and Events (TRI-ECE)",0,15,0,-100
Demand No. 100,Ministry of Tribal Affairs,"Monitoring, Evaluation, Survey, Social Audit (MESSA)",0,15,0,-100
Demand No. 100,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students.,0,145,0,-100
Demand No. 100,Ministry of Tribal Affairs,National Overseas Scholarship Scheme,0,4,0,-100
Demand No. 100,Ministry of Tribal Affairs,Marketing and Logistics Development for Promoting Tribal Products from North Eastern Region.,0,107.53,20,-81.40053938
Demand No. 100,Ministry of Tribal Affairs,Eklavya Model Residential Schools (EMRS),0,2000,5943,197.15
Demand No. 100,Ministry of Tribal Affairs,National Tribal Welfare Program,0,0,655.49,
Demand No. 102,Ministry of Youth Affairs and Sports,National Service Scheme,170.64,283.5,325,14.63844797
Demand No. 102,Ministry of Youth Affairs and Sports,National Young Leaders Programme,4.66,12,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,14.9,22,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,National Youth Corps,51.45,75,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,International Cooperation,8.89,20,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.38,1.5,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,Youth Hostel,1.99,7.5,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,Rashtriya Yuva Sashaktikaran Karyakaram,0,0,140.51,
Demand No. 102,Ministry of Youth Affairs and Sports,Assistance to Promotion of Sports Excellence,112.89,284,0,-100
Demand No. 102,Ministry of Youth Affairs and Sports,Incentive to Sports Persons,48.24,55,45,-18.18181818
Demand No. 102,Ministry of Youth Affairs and Sports,National Sports Development Fund,5,16,15,-6.25
Demand No. 102,Ministry of Youth Affairs and Sports,National Welfare Fund for Sports Persons,0,2,2,0
Demand No. 102,Ministry of Youth Affairs and Sports,Assistance to National Sports Federations,0,0,325,
Demand No. 102,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,0,0,3,
Demand No. 102,Ministry of Youth Affairs and Sports,National Centre of Sports Science & Research,0,0,13,
Demand No. 102,Ministry of Youth Affairs and Sports,Khelo India,764.28,974,1000,2.669404517
Demand No. 102,Ministry of Youth Affairs and Sports,Enhancement of Sports Facility at J& K,15,50,15,-70
Demand No. 102,Ministry of Youth Affairs and Sports,Commonwealth Games,59.67,30,30,0
